sigma1	sigma2	posterior
-4.950000000000000380e-05	-2.133333333333333598e-04	5.538418763149899778e-25
-4.950000000000000380e-05	-2.100000000000000087e-04	8.352051166972945144e-25
-4.950000000000000380e-05	-2.066666666666666847e-04	1.257230105172005890e-24
-4.950000000000000380e-05	-2.033333333333333607e-04	1.889083371259078373e-24
-4.950000000000000380e-05	-2.000000000000000096e-04	2.833365968838391991e-24
-4.950000000000000380e-05	-1.966666666666666856e-04	4.241992471564051665e-24
-4.950000000000000380e-05	-1.933333333333333616e-04	6.339474685353318967e-24
-4.950000000000000380e-05	-1.900000000000000105e-04	9.456998183862745693e-24
-4.950000000000000380e-05	-1.866666666666666865e-04	1.408219978642375070e-23
-4.950000000000000380e-05	-1.833333333333333624e-04	2.093174219144788569e-23
-4.950000000000000380e-05	-1.800000000000000113e-04	3.105692556953342885e-23
-4.950000000000000380e-05	-1.766666666666666873e-04	4.599708334092455071e-23
-4.950000000000000380e-05	-1.733333333333333633e-04	6.800195954375657499e-23
-4.950000000000000380e-05	-1.700000000000000122e-04	1.003534772819112314e-22
-4.950000000000000380e-05	-1.666666666666666882e-04	1.478304383772110931e-22
-4.950000000000000380e-05	-1.633333333333333642e-04	2.173783734494995452e-22
-4.950000000000000380e-05	-1.600000000000000131e-04	3.190732813388857375e-22
-4.950000000000000380e-05	-1.566666666666666891e-04	4.675055739090089879e-22
-4.950000000000000380e-05	-1.533333333333333380e-04	6.837636822518168017e-22
-4.950000000000000380e-05	-1.500000000000000140e-04	9.982717804863838532e-22
-4.950000000000000380e-05	-1.466666666666666900e-04	1.454841727723341875e-21
-4.950000000000000380e-05	-1.433333333333333660e-04	2.116447845062529692e-21
-4.950000000000000380e-05	-1.400000000000000419e-04	3.073441519555431472e-21
-4.950000000000000380e-05	-1.366666666666666637e-04	4.455214411205624278e-21
-4.950000000000000380e-05	-1.333333333333333397e-04	6.446726815721993422e-21
-4.950000000000000380e-05	-1.300000000000000157e-04	9.311886494629709092e-21
-4.950000000000000380e-05	-1.266666666666666917e-04	1.342655501917639332e-20
-4.950000000000000380e-05	-1.233333333333333677e-04	1.932505863621851173e-20
-4.950000000000000380e-05	-1.200000000000000437e-04	2.776560584848698680e-20
-4.950000000000000380e-05	-1.166666666666666655e-04	3.982212454373924494e-20
-4.950000000000000380e-05	-1.133333333333333415e-04	5.701294661908436351e-20
-4.950000000000000380e-05	-1.100000000000000175e-04	8.148078637086293194e-20
-4.950000000000000380e-05	-1.066666666666666935e-04	1.162439871329866487e-19
-4.950000000000000380e-05	-1.033333333333333695e-04	1.655466012358590002e-19
-4.950000000000000380e-05	-1.000000000000000454e-04	2.353452703924219364e-19
-4.950000000000000380e-05	-9.666666666666666723e-05	3.339851006486787703e-19
-4.950000000000000380e-05	-9.333333333333334323e-05	4.731361467273285892e-19
-4.950000000000000380e-05	-9.000000000000001922e-05	6.690885794379191371e-19
-4.950000000000000380e-05	-8.666666666666669521e-05	9.445405876033483903e-19
-4.950000000000000380e-05	-8.333333333333337121e-05	1.331061892564946895e-18
-4.950000000000000380e-05	-8.000000000000004720e-05	1.872481889558215038e-18
-4.950000000000000380e-05	-7.666666666666666899e-05	2.629540839964680407e-18
-4.950000000000000380e-05	-7.333333333333334498e-05	3.686263179307965640e-18
-4.950000000000000380e-05	-7.000000000000002097e-05	5.158674474979524055e-18
-4.950000000000000380e-05	-6.666666666666669697e-05	7.206701949382240172e-18
-4.950000000000000380e-05	-6.333333333333337296e-05	1.005039146102392071e-17
-4.950000000000000380e-05	-5.999999999999999474e-05	1.399196614192532324e-17
-4.950000000000000380e-05	-5.666666666666667074e-05	1.944577620640150957e-17
-4.950000000000000380e-05	-5.333333333333334673e-05	2.697888887482634777e-17
-4.950000000000000380e-05	-5.000000000000002272e-05	3.736599862968060205e-17
-4.950000000000000380e-05	-4.666666666666669872e-05	5.166357567591043392e-17
-4.950000000000000380e-05	-4.333333333333337471e-05	7.130981225422328852e-17
-4.950000000000000380e-05	-3.999999999999999650e-05	9.825910028594087261e-17
-4.950000000000000380e-05	-3.666666666666667249e-05	1.351626468503839682e-16
-4.950000000000000380e-05	-3.333333333333334848e-05	1.856106241749977613e-16
-4.950000000000000380e-05	-3.000000000000002448e-05	2.544562418884090906e-16
-4.950000000000000380e-05	-2.666666666666670047e-05	3.482486899407247233e-16
-4.950000000000000380e-05	-2.333333333333337646e-05	4.758105090885257951e-16
-4.950000000000000380e-05	-1.999999999999999825e-05	6.490062214832337858e-16
-4.950000000000000380e-05	-1.666666666666667424e-05	8.837637973046513112e-16
-4.950000000000000380e-05	-1.333333333333335024e-05	1.201429777838982919e-15
-4.950000000000000380e-05	-1.000000000000002623e-05	1.630563952362480336e-15
-4.950000000000000380e-05	-6.666666666666702223e-06	2.209312108623246043e-15
-4.950000000000000380e-05	-3.333333333333378216e-06	2.988537745082357725e-15
-4.950000000000000380e-05	0.000000000000000000e+00	4.035948569982911595e-15
-4.950000000000000380e-05	3.333333333333324006e-06	5.441524733342648256e-15
-4.950000000000000380e-05	6.666666666666648013e-06	7.324647668321914608e-15
-4.950000000000000380e-05	9.999999999999972019e-06	9.843447067483716702e-15
-4.950000000000000380e-05	1.333333333333329603e-05	1.320703642856474172e-14
-4.950000000000000380e-05	1.666666666666662003e-05	1.769150438719467221e-14
-4.950000000000000380e-05	1.999999999999999825e-05	2.366078195429818745e-14
-4.950000000000000380e-05	2.333333333333332225e-05	3.159383037396373970e-14
-4.950000000000000380e-05	2.666666666666664626e-05	4.212001042540624304e-14
