sigma1	sigma2	posterior
-7.600000000000000418e-04	-1.600000000000000000e+05	1.017314218385765242e-130
-7.600000000000000418e-04	-1.550000000000000000e+05	5.664925348394647320e-130
-7.600000000000000418e-04	-1.500000000000000000e+05	3.137434378732379682e-129
-7.600000000000000418e-04	-1.450000000000000000e+05	1.728209921638390988e-128
-7.600000000000000418e-04	-1.400000000000000000e+05	9.468032069568423703e-128
-7.600000000000000418e-04	-1.350000000000000000e+05	5.158985765366624758e-127
-7.600000000000000418e-04	-1.300000000000000000e+05	2.795827176103658685e-126
-7.600000000000000418e-04	-1.250000000000000000e+05	1.506946026170943643e-125
-7.600000000000000418e-04	-1.200000000000000000e+05	8.078420516443805642e-125
-7.600000000000000418e-04	-1.150000000000000000e+05	4.307215471221924635e-124
-7.600000000000000418e-04	-1.100000000000000000e+05	2.284063234308999602e-123
-7.600000000000000418e-04	-1.050000000000000000e+05	1.204650405922061482e-122
-7.600000000000000418e-04	-1.000000000000000000e+05	6.319101373909199944e-122
-7.600000000000000418e-04	-9.500000000000000000e+04	3.296787819586422780e-121
-7.600000000000000418e-04	-9.000000000000000000e+04	1.710677150389357278e-120
-7.600000000000000418e-04	-8.500000000000000000e+04	8.828491336789485817e-120
-7.600000000000000418e-04	-8.000000000000000000e+04	4.531545228962032030e-119
-7.600000000000000418e-04	-7.500000000000000000e+04	2.313382926203875162e-118
-7.600000000000000418e-04	-7.000000000000000000e+04	1.174600323353922374e-117
-7.600000000000000418e-04	-6.500000000000000000e+04	5.931630495662558080e-117
-7.600000000000000418e-04	-6.000000000000000000e+04	2.979198534477782168e-116
-7.600000000000000418e-04	-5.500000000000000000e+04	1.488216739448921238e-115
-7.600000000000000418e-04	-5.000000000000000000e+04	7.393912517363620016e-115
-7.600000000000000418e-04	-4.500000000000000000e+04	3.653623681777952152e-114
-7.600000000000000418e-04	-4.000000000000000000e+04	1.795621110114578505e-113
-7.600000000000000418e-04	-3.500000000000000000e+04	8.777017708023393658e-113
-7.600000000000000418e-04	-3.000000000000000000e+04	4.266980221147670691e-112
-7.600000000000000418e-04	-2.500000000000000000e+04	2.063173106403750244e-111
-7.600000000000000418e-04	-2.000000000000000000e+04	9.921837035732516277e-111
-7.600000000000000418e-04	-1.500000000000000000e+04	4.745586503137731192e-110
-7.600000000000000418e-04	-1.000000000000000000e+04	2.257506876739203028e-109
-7.600000000000000418e-04	-5.000000000000000000e+03	1.068094436193520786e-108
-7.600000000000000418e-04	0.000000000000000000e+00	5.026105574547721369e-108
-7.600000000000000418e-04	5.000000000000000000e+03	2.352312107716636260e-107
-7.600000000000000418e-04	1.000000000000000000e+04	1.094963554961430958e-106
-7.600000000000000418e-04	1.500000000000000000e+04	5.069274020119781005e-106
-7.600000000000000418e-04	2.000000000000000000e+04	2.334174145390639541e-105
-7.600000000000000418e-04	2.500000000000000000e+04	1.068961648036567145e-104
-7.600000000000000418e-04	3.000000000000000000e+04	4.868917062426420874e-104
-7.600000000000000418e-04	3.500000000000000000e+04	2.205687656524633174e-103
-7.600000000000000418e-04	4.000000000000000000e+04	9.937955137783796497e-103
-7.600000000000000418e-04	4.500000000000000000e+04	4.453397224782509235e-102
-7.600000000000000418e-04	5.000000000000000000e+04	1.984847842490622601e-101
-7.600000000000000418e-04	5.500000000000000000e+04	8.798413892568441456e-101
