sigma1	sigma2	posterior
-7.600000000000000418e-04	-1.500000000000000000e+04	1.014040351486900379e-279
-7.600000000000000418e-04	-1.000000000000000000e+04	1.306418512204154012e-278
-7.600000000000000418e-04	-5.000000000000000000e+03	1.673982053576109346e-277
-7.600000000000000418e-04	0.000000000000000000e+00	2.133342830672489902e-276
-7.600000000000000418e-04	5.000000000000000000e+03	2.704032398480828070e-275
-7.600000000000000418e-04	1.000000000000000000e+04	3.408823475646384048e-274
-7.600000000000000418e-04	1.500000000000000000e+04	4.274039351418389938e-273
-7.600000000000000418e-04	2.000000000000000000e+04	5.329836713132537994e-272
-7.600000000000000418e-04	2.500000000000000000e+04	6.610444672597059963e-271
-7.600000000000000418e-04	3.000000000000000000e+04	8.154340240712699647e-270
-7.600000000000000418e-04	3.500000000000000000e+04	1.000433821521031330e-268
-7.600000000000000418e-04	4.000000000000000000e+04	1.220757174964941460e-267
-7.600000000000000418e-04	4.500000000000000000e+04	1.481533884405985750e-266
-7.600000000000000418e-04	5.000000000000000000e+04	1.788278993852436095e-265
-7.600000000000000418e-04	5.500000000000000000e+04	2.146843292816887501e-264
-7.600000000000000418e-04	6.000000000000000000e+04	2.563343439091404159e-263
-7.600000000000000418e-04	6.500000000000000000e+04	3.044069985699072397e-262
-7.600000000000000418e-04	7.000000000000000000e+04	3.595372165667787273e-261
-7.600000000000000418e-04	7.500000000000000000e+04	4.223519016751423444e-260
-7.600000000000000418e-04	8.000000000000000000e+04	4.934537334674574391e-259
-7.600000000000000418e-04	8.500000000000000000e+04	5.734027976158650892e-258
-7.600000000000000418e-04	9.000000000000000000e+04	6.626963200414138542e-257
-7.600000000000000418e-04	9.500000000000000000e+04	7.617468966231222581e-256
-7.600000000000000418e-04	1.000000000000000000e+05	8.708597356235414056e-255
-7.600000000000000418e-04	1.050000000000000000e+05	9.902095537100789275e-254
-7.600000000000000418e-04	1.100000000000000000e+05	1.119817876537229934e-252
-7.600000000000000418e-04	1.150000000000000000e+05	1.259531586826065104e-251
-7.600000000000000418e-04	1.200000000000000000e+05	1.409003635330623555e-250
-7.600000000000000418e-04	1.250000000000000000e+05	1.567676856964079853e-249
-7.600000000000000418e-04	1.300000000000000000e+05	1.734771839302196806e-248
-7.600000000000000418e-04	1.350000000000000000e+05	1.909279736367410363e-247
-7.600000000000000418e-04	1.400000000000000000e+05	2.089960827563980939e-246
-7.600000000000000418e-04	1.450000000000000000e+05	2.275349485227091127e-245
-7.600000000000000418e-04	1.500000000000000000e+05	2.463766020285204727e-244
-7.600000000000000418e-04	1.550000000000000000e+05	2.653335657712623066e-243
-7.600000000000000418e-04	1.600000000000000000e+05	2.842014627585936851e-242
-7.600000000000000418e-04	1.650000000000000000e+05	3.027623080732148978e-241
-7.600000000000000418e-04	1.700000000000000000e+05	3.207884248292201205e-240
-7.600000000000000418e-04	1.750000000000000000e+05	3.380468970339918716e-239
-7.600000000000000418e-04	1.800000000000000000e+05	3.543044457027330810e-238
-7.600000000000000418e-04	1.850000000000000000e+05	3.693325910664997123e-237
-7.600000000000000418e-04	1.900000000000000000e+05	3.829129436268658827e-236
-7.600000000000000418e-04	1.950000000000000000e+05	3.948424558122077063e-235
-7.600000000000000418e-04	2.000000000000000000e+05	4.049384581707467406e-234
-7.399999999999999894e-04	-2.000000000000000000e+05	7.880194625641506653e-313
-7.399999999999999894e-04	-1.950000000000000000e+05	1.190680338386308817e-311
-7.399999999999999894e-04	-1.900000000000000000e+05	1.789347965135716006e-310
-7.399999999999999894e-04	-1.850000000000000000e+05	2.674458162093603812e-309
-7.399999999999999894e-04	-1.800000000000000000e+05	3.975742022363353637e-308
-7.399999999999999894e-04	-1.750000000000000000e+05	5.878167633620305352e-307
-7.399999999999999894e-04	-1.700000000000000000e+05	8.643847996255863492e-306
-7.399999999999999894e-04	-1.650000000000000000e+05	1.264193806647739470e-304
-7.399999999999999894e-04	-1.600000000000000000e+05	1.838914675357261118e-303
-7.399999999999999894e-04	-1.550000000000000000e+05	2.660424154172583681e-302
