sigma1	sigma2	posterior
-5.000000000000000240e-05	9.999999999999999124e-05	4.347671490778487096e-08
-5.000000000000000240e-05	1.033333333333332610e-04	4.973873092022326381e-08
-5.000000000000000240e-05	1.066666666666666393e-04	5.696231953476317024e-08
-5.000000000000000240e-05	1.100000000000000175e-04	6.531988723483936082e-08
-5.000000000000000240e-05	1.133333333333332873e-04	7.502315995063292888e-08
-5.000000000000000240e-05	1.166666666666666655e-04	8.633431304996218004e-08
-5.000000000000000240e-05	1.199999999999999353e-04	9.958051968405623684e-08
-5.000000000000000240e-05	1.233333333333333135e-04	1.151728859556257621e-07
-5.000000000000000240e-05	1.266666666666666917e-04	1.336309400448076803e-07
-5.000000000000000240e-05	1.299999999999999615e-04	1.556140418384571849e-07
-5.000000000000000240e-05	1.333333333333333397e-04	1.819612571886112118e-07
-5.000000000000000240e-05	1.366666666666666095e-04	2.137413637388182426e-07
-5.000000000000000240e-05	1.399999999999999877e-04	2.523146788028227935e-07
-5.000000000000000240e-05	1.433333333333333660e-04	2.994082679935428258e-07
-5.000000000000000240e-05	1.466666666666666357e-04	3.572057404198292456e-07
-5.000000000000000240e-05	1.500000000000000140e-04	4.284521912824783497e-07
-5.000000000000000240e-05	1.533333333333332838e-04	5.165738469674605459e-07
-5.000000000000000240e-05	1.566666666666666620e-04	6.258105460737676085e-07
-5.000000000000000240e-05	1.599999999999999318e-04	7.613573248673963772e-07
-5.000000000000000240e-05	1.633333333333333100e-04	9.295090845837412018e-07
-5.000000000000000240e-05	1.666666666666666882e-04	1.137799679714868211e-06
-5.000000000000000240e-05	1.699999999999999580e-04	1.395123936592143792e-06
-5.000000000000000240e-05	1.733333333333333362e-04	1.711828331946938184e-06
-5.000000000000000240e-05	1.766666666666666060e-04	2.099753659134374078e-06
-5.000000000000000240e-05	1.799999999999999842e-04	2.572211384675456173e-06
-5.000000000000000240e-05	1.833333333333333624e-04	3.143874991021984846e-06
-5.000000000000000240e-05	1.866666666666666322e-04	3.830568849394449885e-06
-5.000000000000000240e-05	1.900000000000000105e-04	4.648940438902528023e-06
-5.000000000000000240e-05	1.933333333333332803e-04	5.616007256603738144e-06
