lambda	alpha	uniform_radius_ratio	uniform_density_ratio	uniform_Pc_ratio	uniform_absEg_ratio	uniform_Pi_ratio	n1_radius_ratio	n1_rho_c_ratio	n1_Pc_ratio	n1_absEg_ratio	n1_Pi_ratio
0.632633	3.673667e-01	1.000000e+00	1.000000e+00	3.673667e-01	3.673667e-01	3.673667e-01	1.649871e+00	2.226639e-01	4.957920e-02	2.226639e-01	2.226639e-01
0.634635	3.653647e-01	1.000000e+00	1.000000e+00	3.653647e-01	3.653647e-01	3.653647e-01	1.654385e+00	2.208462e-01	4.877304e-02	2.208462e-01	2.208462e-01
0.636637	3.633627e-01	1.000000e+00	1.000000e+00	3.633627e-01	3.633627e-01	3.633627e-01	1.658937e+00	2.190335e-01	4.797568e-02	2.190335e-01	2.190335e-01
0.638639	3.613607e-01	1.000000e+00	1.000000e+00	3.613607e-01	3.613607e-01	3.613607e-01	1.663526e+00	2.172258e-01	4.718705e-02	2.172258e-01	2.172258e-01
0.640641	3.593587e-01	1.000000e+00	1.000000e+00	3.593587e-01	3.593587e-01	3.593587e-01	1.668153e+00	2.154231e-01	4.640711e-02	2.154231e-01	2.154231e-01
0.642643	3.573567e-01	1.000000e+00	1.000000e+00	3.573567e-01	3.573567e-01	3.573567e-01	1.672819e+00	2.136254e-01	4.563582e-02	2.136254e-01	2.136254e-01
0.644645	3.553547e-01	1.000000e+00	1.000000e+00	3.553547e-01	3.553547e-01	3.553547e-01	1.677525e+00	2.118328e-01	4.487312e-02	2.118328e-01	2.118328e-01
0.646647	3.533527e-01	1.000000e+00	1.000000e+00	3.533527e-01	3.533527e-01	3.533527e-01	1.682270e+00	2.100451e-01	4.411896e-02	2.100451e-01	2.100451e-01
0.648649	3.513507e-01	1.000000e+00	1.000000e+00	3.513507e-01	3.513507e-01	3.513507e-01	1.687056e+00	2.082626e-01	4.337330e-02	2.082626e-01	2.082626e-01
0.650651	3.493487e-01	1.000000e+00	1.000000e+00	3.493487e-01	3.493487e-01	3.493487e-01	1.691883e+00	2.064851e-01	4.263609e-02	2.064851e-01	2.064851e-01
0.652653	3.473467e-01	1.000000e+00	1.000000e+00	3.473467e-01	3.473467e-01	3.473467e-01	1.696752e+00	2.047127e-01	4.190728e-02	2.047127e-01	2.047127e-01
0.654655	3.453447e-01	1.000000e+00	1.000000e+00	3.453447e-01	3.453447e-01	3.453447e-01	1.701663e+00	2.029454e-01	4.118683e-02	2.029454e-01	2.029454e-01
0.656657	3.433427e-01	1.000000e+00	1.000000e+00	3.433427e-01	3.433427e-01	3.433427e-01	1.706617e+00	2.011832e-01	4.047468e-02	2.011832e-01	2.011832e-01
0.658659	3.413407e-01	1.000000e+00	1.000000e+00	3.413407e-01	3.413407e-01	3.413407e-01	1.711615e+00	1.994261e-01	3.977078e-02	1.994261e-01	1.994261e-01
0.660661	3.393387e-01	1.000000e+00	1.000000e+00	3.393387e-01	3.393387e-01	3.393387e-01	1.716656e+00	1.976742e-01	3.907510e-02	1.976742e-01	1.976742e-01
0.662663	3.373367e-01	1.000000e+00	1.000000e+00	3.373367e-01	3.373367e-01	3.373367e-01	1.721743e+00	1.959275e-01	3.838757e-02	1.959275e-01	1.959275e-01
0.664665	3.353347e-01	1.000000e+00	1.000000e+00	3.353347e-01	3.353347e-01	3.353347e-01	1.726874e+00	1.941859e-01	3.770816e-02	1.941859e-01	1.941859e-01
0.666667	3.333327e-01	1.000000e+00	1.000000e+00	3.333327e-01	3.333327e-01	3.333327e-01	1.732053e+00	1.924495e-01	3.703681e-02	1.924495e-01	1.924495e-01
