sigma1	sigma2	posterior
-5.000000000000000240e-05	3.333333333333333222e-04	7.377019946076420994e-05
-5.000000000000000240e-05	3.366666666666665920e-04	7.358667261967912095e-05
-5.000000000000000240e-05	3.399999999999999702e-04	7.337791227920858214e-05
-5.000000000000000240e-05	3.433333333333333484e-04	7.314292709744117389e-05
-5.000000000000000240e-05	3.466666666666666182e-04	7.288073108234035722e-05
-5.000000000000000240e-05	3.499999999999999964e-04	7.259035958220622260e-05
-5.000000000000000240e-05	3.533333333333332662e-04	7.227087985718939618e-05
-5.000000000000000240e-05	3.566666666666666445e-04	7.192139894978114738e-05
-5.000000000000000240e-05	3.600000000000000227e-04	7.154107029180319230e-05
-5.000000000000000240e-05	3.633333333333332925e-04	7.112909976686190253e-05
-5.000000000000000240e-05	3.666666666666666707e-04	7.068475156241136139e-05
-5.000000000000000240e-05	3.699999999999999405e-04	7.020735394779037538e-05
-5.000000000000000240e-05	3.733333333333333187e-04	6.969630501628043995e-05
-5.000000000000000240e-05	3.766666666666666969e-04	6.915107838135948375e-05
-5.000000000000000240e-05	3.799999999999999667e-04	6.857122879399470019e-05
-5.000000000000000240e-05	3.833333333333333449e-04	6.795639763607399500e-05
-5.000000000000000240e-05	3.866666666666666147e-04	6.730631823875919304e-05
-5.000000000000000240e-05	3.899999999999999929e-04	6.662082097088435542e-05
-5.000000000000000240e-05	3.933333333333332627e-04	6.589983804034978945e-05
-5.000000000000000240e-05	3.966666666666666410e-04	6.514340795030958359e-05
-5.000000000000000240e-05	4.000000000000000192e-04	6.435167955166916202e-05
-4.950000000000000380e-05	-4.000000000000000192e-04	3.112117599507535969e-36
-4.950000000000000380e-05	-3.966666666666666952e-04	5.199666490687060202e-36
-4.950000000000000380e-05	-3.933333333333333712e-04	8.671470218864836135e-36
-4.950000000000000380e-05	-3.900000000000000471e-04	1.443470589282236676e-35
-4.950000000000000380e-05	-3.866666666666666689e-04	2.398398225418072488e-35
-4.950000000000000380e-05	-3.833333333333333449e-04	3.977708932967028623e-35
-4.950000000000000380e-05	-3.800000000000000209e-04	6.584810198666908995e-35
-4.950000000000000380e-05	-3.766666666666666969e-04	1.088058587491812702e-34
-4.950000000000000380e-05	-3.733333333333333729e-04	1.794569436143590973e-34
-4.950000000000000380e-05	-3.699999999999999947e-04	2.954387307872865467e-34
-4.950000000000000380e-05	-3.666666666666666707e-04	4.854829469780107411e-34
-4.950000000000000380e-05	-3.633333333333333467e-04	7.963062674081427884e-34
-4.950000000000000380e-05	-3.600000000000000227e-04	1.303725349206415208e-33
-4.950000000000000380e-05	-3.566666666666666987e-04	2.130551949734931869e-33
-4.950000000000000380e-05	-3.533333333333333747e-04	3.475348908827597779e-33
-4.950000000000000380e-05	-3.499999999999999964e-04	5.658550401794912365e-33
-4.950000000000000380e-05	-3.466666666666666724e-04	9.196290603664290389e-33
-4.950000000000000380e-05	-3.433333333333333484e-04	1.491836190935507964e-32
-4.950000000000000380e-05	-3.400000000000000244e-04	2.415632034850380062e-32
-4.950000000000000380e-05	-3.366666666666667004e-04	3.904288040915220743e-32
-4.950000000000000380e-05	-3.333333333333333764e-04	6.298753185255565875e-32
-4.950000000000000380e-05	-3.299999999999999982e-04	1.014306590134870789e-31
-4.950000000000000380e-05	-3.266666666666666742e-04	1.630369596052328981e-31
-4.950000000000000380e-05	-3.233333333333333502e-04	2.615804635231671911e-31
-4.950000000000000380e-05	-3.200000000000000262e-04	4.189162571153775451e-31
-4.950000000000000380e-05	-3.166666666666667022e-04	6.696564495389594139e-31
-4.950000000000000380e-05	-3.133333333333333240e-04	1.068513693329980491e-30
-4.950000000000000380e-05	-3.099999999999999999e-04	1.701812033398059248e-30
-4.950000000000000380e-05	-3.066666666666666759e-04	2.705495531179048630e-30
-4.950000000000000380e-05	-3.033333333333333519e-04	4.293248819417486628e-30
-4.950000000000000380e-05	-3.000000000000000279e-04	6.800323668428301310e-30
-4.950000000000000380e-05	-2.966666666666667039e-04	1.075171337580028520e-29
-4.950000000000000380e-05	-2.933333333333333799e-04	1.696799898986988269e-29
-4.950000000000000380e-05	-2.900000000000000017e-04	2.672937044642767782e-29
-4.950000000000000380e-05	-2.866666666666666777e-04	4.202931149239689523e-29
-4.950000000000000380e-05	-2.833333333333333537e-04	6.596621524827391105e-29
-4.950000000000000380e-05	-2.800000000000000297e-04	1.033467708954749572e-28
-4.950000000000000380e-05	-2.766666666666667057e-04	1.616138655744218661e-28
-4.950000000000000380e-05	-2.733333333333333275e-04	2.522708107505048258e-28
-4.950000000000000380e-05	-2.700000000000000577e-04	3.930632011302378797e-28
-4.950000000000000380e-05	-2.666666666666666794e-04	6.113150607715384418e-28
-4.950000000000000380e-05	-2.633333333333333554e-04	9.490202087475236627e-28
